definition_name,time_period,value
thermal_residential_isgt,01T08:30,0.762676065203579
thermal_residential_isgt,01T09:00,0.758553468831063
thermal_residential_isgt,01T09:30,0.758553468831063
thermal_residential_isgt,01T10:00,0.742320960908679
thermal_residential_isgt,01T10:30,0.742320960908679
thermal_residential_isgt,01T11:00,0.719359365927572
thermal_residential_isgt,01T11:30,0.719359365927572
thermal_residential_isgt,01T12:00,0.690680777644545
thermal_residential_isgt,01T12:30,0.690680777644545
thermal_residential_isgt,01T13:00,0.679826718030146
thermal_residential_isgt,01T13:30,0.679826718030146
thermal_residential_isgt,01T14:00,0.672954475793488
thermal_residential_isgt,01T14:30,0.672954475793488
thermal_residential_isgt,01T15:00,0.673809073901993
thermal_residential_isgt,01T15:30,0.673809073901993
thermal_residential_isgt,01T16:00,0.673756557762828
thermal_residential_isgt,01T16:30,0.673756557762828
thermal_residential_isgt,01T17:00,0.682899227805647
thermal_residential_isgt,01T17:30,0.682899227805647
thermal_residential_isgt,01T18:00,0.688198023268348
thermal_residential_isgt,01T18:30,0.688198023268348
thermal_residential_isgt,01T19:00,0.711726237396958
thermal_residential_isgt,01T19:30,0.711726237396958
thermal_residential_isgt,01T20:00,0.72732707842757
thermal_residential_isgt,01T20:30,0.72732707842757
thermal_residential_isgt,01T21:00,0.746615270991018
thermal_residential_isgt,01T21:30,0.746615270991018
thermal_residential_isgt,01T22:00,0.989796951818269
thermal_residential_isgt,01T22:30,0.989796951818269
thermal_residential_isgt,01T23:00,0.970870140384142
thermal_residential_isgt,01T23:30,0.970870140384142
thermal_residential_isgt,02T00:00,0.864827190179835
thermal_residential_isgt,02T00:30,0.864827190179835
thermal_residential_isgt,02T01:00,0.984376664383163
thermal_residential_isgt,02T01:30,0.984376664383163
thermal_residential_isgt,02T02:00,0.985727849017863
thermal_residential_isgt,02T02:30,0.985727849017863
thermal_residential_isgt,02T03:00,0.991025605006903
thermal_residential_isgt,02T03:30,0.991025605006903
thermal_residential_isgt,02T04:00,0.995691977463707
thermal_residential_isgt,02T04:30,0.995691977463707
thermal_residential_isgt,02T05:00,0.997761078955466
thermal_residential_isgt,02T05:30,0.997761078955466
thermal_residential_isgt,02T06:00,0.760428459388057
thermal_residential_isgt,02T06:30,0.760428459388057
thermal_residential_isgt,02T07:00,0.768638198687826
thermal_residential_isgt,02T07:30,0.768638198687826
thermal_residential_isgt,02T08:00,0.762676065203579
thermal_residential_isgt,02T08:30,0.762676065203579
thermal_residential_isgt,02T09:00,0.758553468831063
thermal_residential_isgt,02T09:30,0.758553468831063
thermal_residential_isgt,02T10:00,0.742320960908679
thermal_residential_isgt,02T10:30,0.742320960908679
thermal_residential_isgt,02T11:00,0.719359365927572
thermal_residential_isgt,02T11:30,0.719359365927572
thermal_residential_isgt,02T12:00,0.690680777644545
thermal_residential_isgt,02T12:30,0.690680777644545
thermal_residential_isgt,02T13:00,0.679826718030146
thermal_residential_isgt,02T13:30,0.679826718030146
thermal_residential_isgt,02T14:00,0.672954475793488
thermal_residential_isgt,02T14:30,0.672954475793488
thermal_residential_isgt,02T15:00,0.673809073901993
thermal_residential_isgt,02T15:30,0.673809073901993
thermal_residential_isgt,02T16:00,0.673756557762828
thermal_residential_isgt,02T16:30,0.673756557762828
thermal_residential_isgt,02T17:00,0.682899227805647
thermal_residential_isgt,02T17:30,0.682899227805647
thermal_residential_isgt,02T18:00,0.688198023268348
thermal_residential_isgt,02T18:30,0.688198023268348
thermal_residential_isgt,02T19:00,0.711726237396958
thermal_residential_isgt,02T19:30,0.711726237396958
thermal_residential_isgt,02T20:00,0.72732707842757
thermal_residential_isgt,02T20:30,0.72732707842757
thermal_residential_isgt,02T21:00,0.746615270991018
thermal_residential_isgt,02T21:30,0.746615270991018
thermal_residential_isgt,02T22:00,0.989796951818269
thermal_residential_isgt,02T22:30,0.989796951818269
thermal_residential_isgt,02T23:00,0.970870140384142
thermal_residential_isgt,02T23:30,0.970870140384142
